ARRAY_ID	CHEMICAL	DOSE	VEHICLE	ROUTE	DURATION	ORGAN_OR_CELL_TYPE	ANIMAL_ID	SEX	SPECIES	STRAIN	STUDY_TYPE	RNA_ID	TOXICOLOGY_EXPERIMENT_DATE	RNA_EXTRACTION_DATE	cRNA_PREP_DATE	HYB_DATE
92023.CEL	NAPROXEN	10 mg/kg	CORN OIL 100 %	ORAL GAVAGE	3 d	KIDNEY	S011023-249	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	95644	10/23/2001	10/11/2005	10/13/2005	10/25/2005
92181.CEL			SALINE 100 %	ORAL GAVAGE	.25 d	KIDNEY	I011106-001	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	95795	11/06/2001	10/14/2005	10/19/2005	11/01/2005
92280.CEL	FLUOXETINE	52 mg/kg	CMC .5 %	ORAL GAVAGE	1 d	KIDNEY	R020730-112	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	95896	07/30/2002	10/20/2005	10/24/2005	11/03/2005
92429.CEL	ATORVASTATIN	2.5 mg/kg	CORN OIL 100 %	ORAL GAVAGE	.25 d	KIDNEY	S011030-146	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	95994	10/30/2001	10/25/2005	10/28/2005	11/08/2005
91939.CEL	LEFLUNOMIDE	30 mg/kg	CORN OIL 100 %	ORAL GAVAGE	3 d	KIDNEY	S011009-115	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	95602	10/09/2001	10/10/2005	10/11/2005	10/24/2005
91903.CEL	DIETHYLSTILBESTROL	2.8 mg/kg	CORN OIL 100 %	ORAL GAVAGE	3 d	KIDNEY	S011030-175	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	95562	10/30/2001	10/10/2005	10/11/2005	10/18/2005
91913.CEL	NEOMYCIN	877 mg/kg	CORN OIL 100 %	ORAL GAVAGE	5 d	KIDNEY	S011127-119	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	95573	11/27/2001	10/10/2005	10/11/2005	10/19/2005
92557.CEL	SULBACTAM	671 mg/kg	SALINE 100 %	INTRAVENOUS	5 d	KIDNEY	S020930-262	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96170	09/30/2002	10/28/2005	11/01/2005	11/10/2005
92687.CEL	AMPIROXICAM	94 mg/kg	CMC .5 %	ORAL GAVAGE	5 d	KIDNEY	S030916-046	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	96302	09/16/2003	11/01/2005	11/03/2005	11/15/2005
92261.CEL			SALINE 100 %	ORAL GAVAGE	.25 d	KIDNEY	I011106-002	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	95877	11/06/2001	10/18/2005	10/24/2005	11/02/2005
92347.CEL	AMIKACIN	82 mg/kg	SALINE 100 %	INTRAVENOUS	1 d	KIDNEY	S020115-041	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	95962	01/15/2002	10/20/2005	10/26/2005	11/07/2005
